indice,x,y,db
A28,0.0,0.0,77.4
A29,0.0,1.0,75.8
A30,0.0,2.0,79.6
A31,0.0,3.0,75.1
A35,0.0,7.0,81.3
A36,0.0,8.0,81.6
A40,0.0,12.0,83.2
A43,0.0,15.0,90.0
A44,0.0,16.0,89.7
A47,0.0,19.0,83.7
A48,0.0,20.0,87.8
B28,1.0,0.0,76.3
B29,1.0,1.0,80.7
B30,1.0,2.0,79.1
B31,1.0,3.0,75.4
B32,1.0,4.0,81.7
B33,1.0,5.0,81.7
B35,1.0,7.0,82.1
B36,1.0,8.0,83.3
B37,1.0,9.0,83.7
B39,1.0,11.0,86.3
B40,1.0,12.0,83.2
B44,1.0,16.0,88.7
B45,1.0,17.0,90.8
B46,1.0,18.0,94.6
B47,1.0,19.0,84.1
B48,1.0,20.0,88.4
B49,1.0,21.0,88.5
C27,2.0,-1.0,79.099999999999994
C28,2.0,0.0,81.3
C29,2.0,1.0,77.2
C30,2.0,2.0,78.7
C31,2.0,3.0,76.2
C32,2.0,4.0,83.400000000000006
C35,2.0,7.0,84.299999999999997
C36,2.0,8.0,83.599999999999994
C37,2.0,9.0,84.299999999999997
C38,2.0,10.0,87.599999999999994
C39,2.0,11.0,88.900000000000006
C40,2.0,12.0,83.1
C41,2.0,13.0,89.5
C42,2.0,14.0,82.5
C43,2.0,15.0,90.1
C44,2.0,16.0,90.0
C45,2.0,17.0,93.4
C46,2.0,18.0,91.6
C47,2.0,19.0,83.2
C48,2.0,20.0,88.8
C49,2.0,21.0,87.9
D26,3.0,-2.0,78.0
D27,3.0,-1.0,78.900000000000006
D28,3.0,0.0,76.3
D29,3.0,1.0,78.0
D30,3.0,2.0,78.0
D31,3.0,3.0,76.8
D32,3.0,4.0,81.3
D33,3.0,5.0,82.4
D34,3.0,6.0,83.7
D35,3.0,7.0,83.8
D36,3.0,8.0,83.2
D37,3.0,9.0,84.0
D38,3.0,10.0,85.1
D40,3.0,12.0,83.5
D41,3.0,13.0,85.5
D43,3.0,15.0,88.2
D44,3.0,16.0,87.7
D47,3.0,19.0,85.699999999999989
D48,3.0,20.0,83.9
E25,4.0,-3.0,77.9
E26,4.0,-2.0,78.4
E27,4.0,-1.0,79.099999999999994
E28,4.0,0.0,76.4
E29,4.0,1.0,79.8
E30,4.0,2.0,79.5
E31,4.0,3.0,78.2
E32,4.0,4.0,84.200000000000003
